birthday,chaksunT,faHrName,faHrNo,hrLastAmt,hrName,hrNo,meet,moHrName,moHrNo,name,ord1CntT,ord1CntY,ord2CntT,ord2CntY,ord3CntT,ord3CntY,owName,owNo,rank,rating,rcCntT,rcCntY,sex,trName,trNo
20230315,3000000,닉스고,0041819,"56,854천원(개별)",그레이고,0060724,서울,KENDALIN,7000112,미국,0,0,0,0,0,0,(주)디알엠씨티,114026,외4,0,5,5,암,박재우,070164
20230523,55950000,레이스데이,0046317,"50,000천원(경매)",그레이스데이,0053802,서울,그레이스필,0041970,한국,2,2,1,1,1,1,정현주,124008,국4,0,5,5,수,안병기,070146
20220401,151650000,테스타마타,0034428,"60,000천원(개별)",그레이스루트,0051657,서울,그레이스,0032054,한국,4,3,2,2,2,1,박남성,010496,국3,0,16,12,암,박재우,070164
20210216,68850000,BUCCHERO,6115828,"65,072천원(개별)",그레이찰리,0054019,서울,JANE REACTION,6848597,미국,1,1,1,1,2,1,김철,105204,외3,0,13,8,거,강성오,070174
20230113,0,레볼루셔너리,0044420,"50,000천원(개별)",그레이참,0052963,서울,플래쉬디만티너,0036695,한국,0,0,0,0,0,0,김세민,065160,국미검,0,0,0,암,휴양마,0AAAAA
20220221,120900000,CANDY RIDE,6340178,"87,760천원(개별)",그레이캔디,0055102,서울,CAMILLI,6149447,미국,2,2,3,2,0,0,에스지이건설,121013,외3,0,12,9,수,박병일,070163
20210430,192850000,오버애널라이즈,0045082,"25,000천원(경매)",그레이트스톰,1412124,서울,에이원,0024222,한국,4,1,4,1,1,1,우순근,105169,국2,0,18,8,거,우창구,070149
20220508,0,인디언킹,0036194,위탁생산,그레이특급,0051991,서울,그레이스톤,0022760,한국,0,0,0,0,0,0,장철환,010644,국미검,0,0,0,수,휴양마,0AAAAA
20220418,17100000,한센,0032990,"13,000천원(개별)",그레이팬텀,0051381,서울,상류,0029193,한국,0,0,1,0,0,0,김길중,010486,국6,0,17,12,암,이동국,070247
20200326,115050000,선더모카신,0033119,"24,000천원(경매)",그로우,0045359,서울,대효,0019415,한국,3,2,0,0,5,1,배석두,010603,국5,0,42,17,암,휴양마,0AAAAA
20230305,29700000,메디치글로리,0041800,"1,000천원(개별)",그린재킷,0053233,서울,초원의별,0029065,한국,0,0,3,2,0,0,윤우환,113020,국5,0,3,2,수,리카디,070244
20210312,643250000,보이즈앳토스코노,0045048,수증,글라디우스,0050004,서울,사제불이,0041865,한국,6,0,5,1,3,1,김기종,106296,국1,0,21,6,암,강성오,070174
20220415,21000000,디바인파크,0036735,"30,000천원(개별)",글로리데이,0051754,서울,빅터우먼,0024712,한국,1,1,0,0,0,0,청솔,123027,국5,0,11,8,암,홍윤화,070306
20220311,0,WILL TAKE CHARGE,6980256,"81,116천원(개별)",글로리삭스,0055565,서울,QUADRILLE,7005237,미국,0,0,0,0,0,0,김창식,010352,외4,0,9,4,거,성상현,070289
20210902,117900000,OCEAN PARK,6103836,"76,565천원(개별)",글로리시티,0055089,서울,FIDGETTE,7124227,뉴질랜드,2,2,1,1,4,3,(주)디알엠씨티,114026,외3,0,17,10,수,이관호,070181
20200430,105000000,투아너앤드서브,0041566,50천원(개별),글로리앤아너,0045892,서울,벤트온글로리,0036613,한국,2,0,1,0,4,0,명마조합,124013,국5,0,36,10,암,휴양마,0AAAAA
20220320,77400000,CATALINA CRUISER,6127203,"117,101천원(개별)",글로리영광,0055563,서울,RUMORS OF GLORY,6780255,미국,1,1,1,1,3,3,박남성,010496,외3,0,9,7,수,박지헌,070264
20220404,17700000,섀클포드,0045050,"30,000천원(개별)",글로리조이,0051605,서울,조이풀룰러,0038884,한국,0,0,1,1,2,2,김길리,125001,국5,0,10,8,거,박지헌,070264
20220325,31950000,크리솔라이트,0038227,"35,000천원(개별)",글로리퀸,0052314,서울,스테파니갓이븐,0041539,한국,0,0,2,2,2,1,(주)디알엠씨티,114026,국5,0,15,12,암,휴양마,0AAAAA
